"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-1-1","6.7540","6.9142","6.9240","6.6910","","-2.08%"
"2022-12-1","6.8972","7.0450","7.0907","6.8931","","-2.69%"
"2022-11-1","7.0879","7.3231","7.3285","7.0248","","-2.93%"
"2022-10-1","7.3015","7.1102","7.3094","7.1082","","2.64%"
"2022-9-1","7.1135","6.9065","7.2506","6.8934","","3.26%"
"2022-8-1","6.8890","6.7474","6.9225","6.7230","","2.16%"
"2022-7-1","6.7433","6.6940","6.7715","6.6840","","0.67%"
"2022-6-1","6.6981","6.6676","6.7617","6.6376","","0.40%"
"2022-5-1","6.6715","6.5908","6.8127","6.5908","","0.96%"
"2022-4-1","6.6080","6.3430","6.6515","6.3422","","4.24%"
"2022-3-1","6.3393","6.3071","6.3868","6.3068","","0.49%"
"2022-2-1","6.3084","6.3569","6.3720","6.3046","","-0.82%"
"2022-1-1","6.3605","6.3719","6.3859","6.3186","","0.13%"
"2021-12-1","6.3521","6.3681","6.3850","6.3384","","-0.19%"
"2021-11-1","6.3640","6.4060","6.4098","6.3625","","-0.64%"
"2021-10-1","6.4050","6.4493","6.4594","6.3777","","-0.62%"
"2021-9-1","6.4452","6.4618","6.4760","6.4291","","-0.24%"
"2021-8-1","6.4604","6.4615","6.5057","6.4542","","-0.01%"
"2021-7-1","6.4609","6.4622","6.5132","6.4498","","0.07%"
"2021-6-1","6.4566","6.3676","6.4903","6.3611","","1.38%"
"2021-5-1","6.3688","6.4808","6.4840","6.3568","","-1.61%"
"2021-4-1","6.4730","6.5556","6.5792","6.4633","","-1.20%"
"2021-3-1","6.5518","6.4676","6.5802","6.4556","","1.22%"
"2021-2-1","6.4730","6.4309","6.4902","6.4292","","0.75%"
"2021-1-1","6.4250","6.5167","6.5170","6.4223","","-1.53%"
"2020-12-1","6.5250","6.5789","6.5875","6.5152","","-0.78%"
"2020-11-1","6.5760","6.6927","6.7508","6.5389","","-1.73%"
"2020-10-1","6.6919","6.7908","6.7909","6.6408","","-1.44%"
"2020-9-1","6.7896","6.8445","6.8565","6.7508","","-0.84%"
"2020-8-1","6.8474","6.9816","6.9885","6.8422","","-1.82%"
"2020-7-1","6.9744","7.0675","7.0743","6.9646","","-1.28%"
"2020-6-1","7.0651","7.1151","7.1400","7.0511","","-0.98%"
"2020-5-1","7.1348","7.0622","7.1800","7.0622","","1.06%"
"2020-4-1","7.0600","7.0825","7.1283","7.0275","","-0.29%"
"2020-3-1","7.0808","6.9742","7.1270","6.9094","","1.29%"
"2020-2-1","6.9906","6.9366","7.0434","6.9366","","0.78%"
