"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-1-1","69.8200","69.9000","72.4513","67.0998","","-0.11%"
"2022-12-1","69.9000","60.9900","72.8524","60.8200","","14.61%"
"2022-11-1","60.9900","61.4775","62.3590","59.9835","","-0.79%"
"2022-10-1","61.4775","58.4500","64.9150","56.9074","","5.18%"
"2022-9-1","58.4500","60.2300","62.5799","53.2875","","-2.96%"
"2022-8-1","60.2300","61.6200","62.6401","58.2493","","-2.26%"
"2022-7-1","61.6200","51.4500","64.5988","51.3998","","19.77%"
"2022-6-1","51.4500","61.5000","62.4923","50.1006","","-16.34%"
"2022-5-1","61.5000","70.9600","70.9600","55.8383","","-13.33%"
"2022-4-1","70.9600","83.2000","84.9917","70.3221","","-14.71%"
"2022-3-1","83.2000","94.6025","121.2100","82.9525","","-12.05%"
"2022-2-1","94.6025","77.3792","109.1239","74.2873","","22.26%"
"2022-1-1","77.3792","74.6539","80.3251","74.1898","","3.65%"
"2021-12-1","74.6539","74.0838","75.1295","73.1070","","0.77%"
"2021-11-1","74.0838","70.9464","75.8907","70.5283","","4.42%"
"2021-10-1","70.9464","72.7514","73.2325","69.2347","","-2.48%"
"2021-9-1","72.7514","73.2274","73.6184","72.2500","","-0.65%"
"2021-8-1","73.2274","73.1409","74.5781","72.6923","","0.12%"
"2021-7-1","73.1409","73.1925","75.3361","72.8178","","-0.02%"
"2021-6-1","73.1522","73.2636","73.7045","71.5630","","-0.38%"
"2021-5-1","73.4341","75.1859","75.3481","73.1646","","-2.36%"
"2021-4-1","75.2073","75.6500","78.0207","74.2151","","-0.65%"
"2021-3-1","75.6987","74.6196","76.6440","72.5404","","1.45%"
"2021-2-1","74.6196","75.7404","76.2821","73.1509","","-1.48%"
"2021-1-1","75.7404","74.4121","76.4995","73.0857","","1.79%"
"2020-12-1","74.4121","76.4033","76.4123","72.6629","","-2.61%"
"2020-11-1","76.4033","79.5257","80.9205","75.3270","","-3.93%"
"2020-10-1","79.5257","77.6319","79.5905","76.0220","","2.44%"
"2020-9-1","77.6319","74.0718","79.9438","73.3757","","4.81%"
"2020-8-1","74.0718","74.4114","75.9878","72.6438","","-0.46%"
"2020-7-1","74.4114","71.1734","74.4947","70.2013","","4.55%"
"2020-6-1","71.1734","70.1445","71.3213","68.0563","","1.47%"
"2020-5-1","70.1445","74.3813","75.9330","70.1445","","-5.70%"
"2020-4-1","74.3813","78.4426","79.3351","72.6449","","-5.18%"
"2020-3-1","78.4426","66.8806","81.6654","65.3718","","17.29%"
"2020-2-1","66.8806","63.9203","67.6273","62.5671","","4.63%"
"2020-1-1","63.9203","61.9863","63.9415","60.8865","","3.12%"
"2019-12-1","61.9863","64.3195","64.4819","61.5403","","-3.63%"
"2019-11-1","64.3195","64.1328","64.4618","63.1815","","0.29%"
"2019-10-1","64.1328","64.8569","65.5577","63.5624","","-1.12%"
"2019-9-1","64.8569","66.7657","67.1229","63.6178","","-2.86%"
"2019-8-1","66.7657","63.6284","67.0210","63.6250","","4.93%"
"2019-7-1","63.6284","63.2305","63.9788","62.5653","","0.63%"
"2019-6-1","63.2305","65.4306","65.5915","62.4997","","-3.36%"
"2019-5-1","65.4306","64.6373","65.5983","64.1530","","1.23%"
"2019-4-1","64.6373","65.6340","65.8261","63.6600","","-1.52%"
"2019-3-1","65.6340","65.9151","66.3013","63.6471","","-0.43%"
"2019-2-1","65.9151","65.4103","67.1574","65.1670","","0.77%"
"2019-1-1","65.4103","69.8319","69.8326","65.1713","","-6.33%"
"2018-12-1","69.8319","66.9510","69.9427","66.0028","","4.30%"
"2018-11-1","66.9510","65.8789","68.2775","65.4319","","1.63%"
"2018-10-1","65.8789","65.5503","67.0725","64.8565","","0.50%"
"2018-9-1","65.5503","67.5458","70.5897","65.2283","","-2.95%"
"2018-8-1","67.5458","62.5078","69.0010","62.4910","","8.06%"
"2018-7-1","62.5078","62.7338","63.7818","61.6538","","-0.36%"
"2018-6-1","62.7338","62.4030","64.1873","61.7060","","0.53%"
"2018-5-1","62.4030","62.9408","64.1935","60.9633","","-0.85%"
"2018-4-1","62.9408","57.1444","65.0144","57.1444","","10.14%"
"2018-3-1","57.1444","56.3291","58.0234","56.2690","","1.45%"
"2018-2-1","56.3291","56.2075","58.7583","55.5655","","0.22%"
"2018-1-1","56.2075","57.6114","57.6114","55.5973","","-2.44%"
"2017-12-1","57.6114","58.4380","59.3811","57.3927","","-1.41%"
"2017-11-1","58.4380","58.3289","60.4124","58.0118","","0.19%"
"2017-10-1","58.3289","57.4898","58.7458","56.9956","","1.46%"
"2017-9-1","57.4898","58.0060","58.5741","56.7935","","-0.89%"
"2017-8-1","58.0060","59.7719","60.8357","57.9844","","-2.95%"
"2017-7-1","59.7719","58.9401","60.9884","58.7825","","1.41%"
"2017-6-1","58.9401","56.5617","60.4192","56.1125","","4.20%"
"2017-5-1","56.5617","56.9311","58.8033","56.0007","","-0.65%"
"2017-4-1","56.9311","56.2665","57.5506","55.7253","","1.18%"
"2017-3-1","56.2665","58.3058","59.6053","55.8808","","-3.50%"
"2017-2-1","58.3058","60.1589","60.3979","56.5701","","-3.08%"
"2017-1-1","60.1589","61.2730","61.2865","58.9786","","-1.82%"
"2016-12-1","61.2730","64.1420","64.3440","60.1189","","-4.47%"
"2016-11-1","64.1420","63.3823","66.4812","62.9151","","1.20%"
"2016-10-1","63.3823","62.8343","63.4921","61.8510","","0.87%"
"2016-9-1","62.8343","65.3317","65.9735","62.6585","","-3.82%"
"2016-8-1","65.3317","66.0429","67.0185","63.4193","","-1.08%"
"2016-7-1","66.0429","63.9731","67.1548","62.7597","","3.24%"
"2016-6-1","63.9731","66.6968","67.6776","63.4277","","-4.08%"
"2016-5-1","66.6968","64.6542","67.3038","64.4075","","3.16%"
"2016-4-1","64.6542","67.0288","69.4728","64.0046","","-3.54%"
"2016-3-1","67.0288","75.1682","75.1682","66.7170","","-10.83%"
"2016-2-1","75.1682","75.4644","80.6000","74.5206","","-0.39%"
"2016-1-1","75.4644","73.5963","85.7520","72.6455","","2.54%"
"2015-12-1","73.5963","66.4888","73.6222","66.0833","","10.69%"
"2015-11-1","66.4888","63.9454","66.9866","62.3561","","3.98%"
"2015-10-1","63.9454","65.4532","66.6476","60.8451","","-2.30%"
"2015-9-1","65.4532","64.2768","69.2889","64.2768","","1.83%"
"2015-8-1","64.2768","61.7417","71.6014","61.7417","","4.11%"
"2015-7-1","61.7417","55.2806","61.7507","55.2704","","11.69%"
"2015-6-1","55.2806","52.3212","56.3661","53.0322","","5.66%"
"2015-5-1","52.3212","51.6513","52.1965","50.3630","","1.30%"
"2015-4-1","51.6513","58.1993","58.4863","49.4550","","-11.25%"
"2015-3-1","58.1993","61.6207","63.0344","56.2019","","-5.55%"
"2015-2-1","61.6207","68.8629","70.4525","59.8819","","-10.52%"
"2015-1-1","68.8629","55.9077","71.7575","55.9077","","23.17%"
"2014-12-1","55.9077","50.4085","80.0000","50.4085","","10.91%"
"2014-11-1","50.4085","43.0340","50.4085","43.0340","","17.14%"
"2014-10-1","43.0340","39.5727","43.6382","39.3822","","8.75%"
"2014-9-1","39.5727","37.0749","39.7205","36.6736","","6.74%"
"2014-8-1","37.0749","35.7590","37.0825","35.6201","","3.90%"
"2014-7-1","35.6848","34.4770","35.9046","33.7906","","4.99%"
"2014-6-1","33.9880","34.9100","35.2520","33.5400","","-2.67%"
"2014-5-1","34.9200","35.6330","35.9070","34.0000","","-2.00%"
"2014-4-1","35.6340","35.0320","36.3530","34.9240","","1.67%"
"2014-3-1","35.0470","36.6410","36.7320","35.0320","","-2.78%"
"2014-2-1","36.0500","35.1550","36.2670","34.5300","","2.48%"
"2014-1-1","35.1760","32.8500","35.4530","32.8400","","6.93%"
"2013-12-1","32.8950","33.1360","33.2900","32.4670","","-0.77%"
"2013-11-1","33.1490","32.1000","33.2420","32.0680","","3.32%"
"2013-10-1","32.0830","32.3750","32.4720","31.6160","","-0.96%"
"2013-9-1","32.3930","33.2730","33.5400","31.5100","","-2.63%"
"2013-8-1","33.2680","32.9200","33.3250","32.7500","","0.93%"
"2013-7-1","32.9600","32.8580","33.3730","32.2100","","0.38%"
"2013-6-1","32.8350","31.9180","33.0720","31.4910","","2.86%"
"2013-5-1","31.9220","31.1230","32.0220","30.9600","","2.55%"
"2013-4-1","31.1280","31.0470","31.9100","30.7700","","0.16%"
"2013-3-1","31.0780","30.6600","31.1400","30.5700","","1.40%"
"2013-2-1","30.6500","30.0250","30.6920","29.8300","","2.06%"
"2013-1-1","30.0300","30.5530","30.5800","29.9600","","-1.73%"
"2012-12-1","30.5580","30.8580","31.0380","30.2320","","-0.99%"
"2012-11-1","30.8650","31.3520","31.8470","30.7750","","-1.53%"
"2012-10-1","31.3430","31.2880","31.5700","30.6430","","0.51%"
"2012-9-1","31.1850","32.2450","32.5020","30.3750","","-3.30%"
"2012-8-1","32.2500","32.1990","32.6570","31.4240","","0.12%"
"2012-7-1","32.2110","32.4400","33.0940","31.7860","","-0.57%"
"2012-6-1","32.3950","33.3860","34.1210","32.0340","","-3.01%"
"2012-5-1","33.4010","29.3550","33.6260","29.3000","","13.73%"
"2012-4-1","29.3680","29.3920","29.8740","29.1310","","0.16%"
"2012-3-1","29.3200","29.0810","29.7860","28.8500","","0.81%"
"2012-2-1","29.0850","30.2980","30.4380","28.8410","","-4.04%"
"2012-1-1","30.3100","32.1940","32.2250","30.0350","","-5.88%"
"2011-12-1","32.2040","30.7240","32.3390","30.6590","","4.79%"
"2011-11-1","30.7320","30.2240","31.6770","30.0400","","1.66%"
"2011-10-1","30.2300","32.1440","32.9020","29.6330","","-6.10%"
"2011-9-1","32.1940","28.8380","32.5250","28.8080","","11.62%"
"2011-8-1","28.8430","27.6110","30.1720","27.4960","","4.36%"
"2011-7-1","27.6380","27.8700","28.4540","27.3920","","-1.03%"
"2011-6-1","27.9260","27.9700","28.3920","27.6410","","-0.15%"
"2011-5-1","27.9690","27.3600","28.5420","27.1260","","2.05%"
"2011-4-1","27.4070","28.4270","28.5030","27.2300","","-3.65%"
"2011-3-1","28.4450","28.8640","28.9480","28.1000","","-1.49%"
"2011-2-1","28.8760","29.7910","29.8020","28.7790","","-3.10%"
"2011-1-1","29.8000","30.6020","30.7620","29.5490","","-2.54%"
"2010-12-1","30.5770","31.5290","31.5700","30.1920","","-3.04%"
"2010-11-1","31.5350","30.8020","31.5550","30.4620","","2.23%"
"2010-10-1","30.8480","30.5850","30.8950","29.5610","","0.86%"
"2010-9-1","30.5840","30.8100","31.3700","30.3520","","-0.80%"
"2010-8-1","30.8300","30.2500","30.9840","29.6620","","1.87%"
"2010-7-1","30.2650","31.2650","31.4070","30.0610","","-3.19%"
"2010-6-1","31.2620","30.8910","31.9450","30.6700","","1.21%"
"2010-5-1","30.8890","29.1750","31.6840","29.1740","","5.68%"
"2010-4-1","29.2290","29.4390","29.4820","28.9000","","-0.70%"
"2010-3-1","29.4340","29.9480","30.0500","29.1190","","-1.67%"
"2010-2-1","29.9350","30.3740","30.5720","29.8150","","-1.44%"
"2010-1-1","30.3710","30.3110","30.4850","29.2700","","0.19%"
"2009-12-1","30.3140","29.2320","30.9580","29.0100","","3.70%"
"2009-11-1","29.2320","29.1620","29.9290","28.5850","","0.24%"
"2009-10-1","29.1610","30.0320","30.2500","28.7200","","-2.88%"
"2009-9-1","30.0270","31.8060","32.1140","29.9030","","-5.58%"
"2009-8-1","31.8000","31.4450","32.9120","30.9180","","1.07%"
"2009-7-1","31.4640","31.1600","33.1950","30.5900","","0.97%"
"2009-6-1","31.1610","30.8230","31.6290","30.4610","","1.21%"
"2009-5-1","30.7870","33.0990","33.1280","30.7570","","-7.04%"
"2009-4-1","33.1200","33.9500","34.2380","32.9080","","-2.47%"
"2009-3-1","33.9590","35.8940","36.3780","33.1260","","-5.47%"
"2009-2-1","35.9250","35.8720","36.5590","34.4300","","0.45%"
"2009-1-1","35.7630","30.5250","35.8610","29.1390","","17.12%"
"2008-12-1","30.5350","27.9050","30.6820","27.1280","","9.39%"
"2008-11-1","27.9130","27.0340","27.9780","26.6480","","3.08%"
"2008-10-1","27.0790","25.6160","27.5050","25.5610","","5.63%"
"2008-9-1","25.6350","24.6190","25.8680","24.5910","","4.00%"
"2008-8-1","24.6480","23.4330","24.7690","23.3590","","5.17%"
"2008-7-1","23.4360","23.4440","23.5730","23.0520","","-0.05%"
"2008-6-1","23.4470","23.6830","23.8590","23.3670","","-1.02%"
"2008-5-1","23.6880","23.6410","23.9310","23.4820","","0.03%"
"2008-4-1","23.6820","23.5110","23.7260","23.2930","","0.82%"
"2008-3-1","23.4890","24.0150","24.0670","23.3900","","-2.21%"
"2008-2-1","24.0210","24.4340","24.8030","23.9710","","-1.75%"
"2008-1-1","24.4480","24.5730","24.9270","24.2360","","-0.53%"
"2007-12-1","24.5790","24.5020","24.7950","24.3730","","0.54%"
"2007-11-1","24.4460","24.6500","24.7270","24.2280","","-0.92%"
"2007-10-1","24.6720","24.8370","25.0810","24.6480","","-0.74%"
"2007-9-1","24.8550","25.6470","25.7360","24.8460","","-3.11%"
"2007-8-1","25.6540","25.5680","25.9200","25.2950","","0.37%"
"2007-7-1","25.5590","25.7120","25.7800","25.3600","","-0.65%"
"2007-6-1","25.7260","25.8840","26.0840","25.7160","","-0.62%"
"2007-5-1","25.8870","25.6990","25.9320","25.6610","","0.79%"
"2007-4-1","25.6830","25.9640","26.0270","25.6520","","-1.09%"
"2007-3-1","25.9660","26.1130","26.2830","25.9270","","-0.59%"
"2007-2-1","26.1200","26.4700","26.5640","26.0860","","-1.41%"
"2007-1-1","26.4940","26.3200","26.6270","26.3050","","0.64%"
"2006-12-1","26.3260","26.2580","26.4320","26.1410","","0.29%"
"2006-11-1","26.2510","26.7070","26.7820","26.2270","","-1.69%"
"2006-10-1","26.7010","26.7860","27.0020","26.6650","","-0.31%"
"2006-9-1","26.7830","26.7560","26.8430","26.6200","","0.04%"
"2006-8-1","26.7710","26.8040","26.8480","26.6310","","-0.12%"
