"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-1-1","17.3985","17.0119","17.4935","16.6913","","2.32%"
"2022-12-1","17.0044","17.1461","17.9632","16.8806","","-0.97%"
"2022-11-1","17.1713","18.2978","18.5299","16.8944","","-6.12%"
"2022-10-1","18.2903","18.0756","18.5817","17.5694","","0.79%"
"2022-9-1","18.1462","17.1022","18.2243","16.9918","","6.08%"
"2022-8-1","17.1069","16.5617","17.1430","16.1084","","2.81%"
"2022-7-1","16.6389","16.2802","17.3094","16.2181","","2.25%"
"2022-6-1","16.2720","15.6288","16.4760","15.1654","","4.14%"
"2022-5-1","15.6258","15.8154","16.3248","15.4108","","-1.15%"
"2022-4-1","15.8079","14.6192","16.1352","14.4429","","8.25%"
"2022-3-1","14.6038","15.3891","15.5666","14.4011","","-4.93%"
"2022-2-1","15.3614","15.3788","15.5926","14.9094","","-0.13%"
"2022-1-1","15.3808","16.0038","16.0803","15.0599","","-3.82%"
"2021-12-1","15.9921","15.9090","16.2696","15.4973","","0.75%"
"2021-11-1","15.8735","15.2088","16.3683","14.8610","","4.40%"
"2021-10-1","15.2038","15.0892","15.3313","14.3503","","0.76%"
"2021-9-1","15.0884","14.5166","15.2550","14.0612","","3.98%"
"2021-8-1","14.5112","14.5604","15.3963","14.2222","","-0.35%"
"2021-7-1","14.5622","14.2826","14.9988","14.1615","","2.06%"
"2021-6-1","14.2676","13.7258","14.4031","13.4000","","4.00%"
"2021-5-1","13.7183","14.5321","14.5445","13.6757","","-5.35%"
"2021-4-1","14.4938","14.7767","14.8478","14.1454","","-1.85%"
"2021-3-1","14.7665","15.1001","15.5731","14.6081","","-2.16%"
"2021-2-1","15.0926","15.1650","15.2223","14.3960","","-0.43%"
"2021-1-1","15.1575","14.6950","15.6657","14.5063","","3.20%"
"2020-12-1","14.6878","15.4737","15.4841","14.5107","","-5.03%"
"2020-11-1","15.4662","16.2513","16.4372","15.0962","","-4.79%"
"2020-10-1","16.2438","16.7493","16.8036","16.0882","","-2.93%"
"2020-9-1","16.7339","16.9275","17.2680","16.0807","","-1.19%"
"2020-8-1","16.9361","17.0475","17.7901","16.5454","","-0.43%"
"2020-7-1","17.0088","17.3456","17.3820","16.3409","","-1.80%"
"2020-6-1","17.3210","17.5650","17.6190","16.3349","","-1.25%"
"2020-5-1","17.5405","18.5296","18.9618","17.2931","","-5.27%"
"2020-4-1","18.5166","17.8370","19.3547","17.8036","","3.79%"
"2020-3-1","17.8402","15.6531","18.0893","15.2111","","13.91%"
"2020-2-1","15.6619","15.0000","15.8357","14.6651","","4.44%"
"2020-1-1","14.9958","14.0095","15.0455","13.9307","","7.16%"
"2019-12-1","13.9937","14.6432","14.8730","13.9596","","-4.40%"
"2019-11-1","14.6385","15.0983","15.1705","14.5892","","-3.01%"
"2019-10-1","15.0930","15.1438","15.4063","14.5114","","-0.26%"
"2019-9-1","15.1330","15.2301","15.2932","14.4988","","-0.31%"
"2019-8-1","15.1800","14.3447","15.5061","14.3308","","5.88%"
"2019-7-1","14.3364","14.0675","14.3894","13.8095","","1.87%"
"2019-6-1","14.0733","14.5950","15.1734","14.0700","","-3.48%"
"2019-5-1","14.5800","14.2962","14.8952","14.1244","","2.00%"
"2019-4-1","14.2935","14.4930","14.5585","13.8687","","-1.31%"
"2019-3-1","14.4825","14.0803","14.7545","14.0650","","2.86%"
"2019-2-1","14.0797","13.2535","14.3800","13.2386","","6.28%"
"2019-1-1","13.2477","14.3615","14.6862","13.2289","","-7.66%"
"2018-12-1","14.3473","13.7259","14.6996","13.5393","","3.52%"
"2018-11-1","13.8592","14.7729","14.7954","13.5973","","-6.26%"
"2018-10-1","14.7848","14.1473","15.0675","14.0577","","4.56%"
"2018-9-1","14.1398","14.6875","15.6967","13.9991","","-3.68%"
"2018-8-1","14.6800","13.2726","15.4813","13.1714","","10.63%"
"2018-7-1","13.2700","13.7254","13.9251","13.0751","","-3.30%"
"2018-6-1","13.7225","12.7006","14.0001","12.5119","","8.09%"
"2018-5-1","12.6950","12.4650","12.8966","12.1783","","1.85%"
"2018-4-1","12.4638","11.8738","12.5350","11.7875","","5.35%"
"2018-3-1","11.8310","11.7988","12.1118","11.6020","","0.36%"
"2018-2-1","11.7883","11.8650","12.2020","11.5050","","-0.58%"
"2018-1-1","11.8575","12.3724","12.5573","11.7950","","-4.05%"
"2017-12-1","12.3574","13.6840","13.8084","12.2324","","-9.74%"
"2017-11-1","13.6910","14.1258","14.5791","13.5550","","-3.07%"
"2017-10-1","14.1239","13.5640","14.3579","13.2500","","4.27%"
"2017-9-1","13.5461","13.0052","13.7136","12.7345","","4.28%"
"2017-8-1","12.9902","13.2160","13.5393","12.9434","","-1.33%"
"2017-7-1","13.1653","13.0737","13.6339","12.8571","","0.90%"
"2017-6-1","13.0476","13.1250","13.1525","12.5476","","-0.41%"
"2017-5-1","13.1015","13.3663","13.7137","12.6375","","-1.95%"
"2017-4-1","13.3618","13.4234","13.9627","12.8725","","-0.43%"
"2017-3-1","13.4197","13.1263","13.6224","12.3085","","2.32%"
"2017-2-1","13.1149","13.4758","13.5363","12.7900","","-2.56%"
"2017-1-1","13.4601","13.7275","13.9825","13.1948","","-1.97%"
"2016-12-1","13.7311","14.0896","14.1834","13.4569","","-2.48%"
"2016-11-1","14.0800","13.4747","14.6525","13.1675","","4.61%"
"2016-10-1","13.4600","13.7625","14.4991","13.4600","","-1.82%"
"2016-9-1","13.7100","14.7285","14.7565","13.3736","","-6.92%"
"2016-8-1","14.7300","13.8713","14.7473","13.1962","","6.16%"
"2016-7-1","13.8750","14.7050","14.9557","13.8243","","-5.48%"
"2016-6-1","14.6800","15.7115","15.7405","14.3019","","-6.55%"
"2016-5-1","15.7081","14.2100","15.9845","14.1716","","10.39%"
"2016-4-1","14.2295","14.7548","15.2998","14.1027","","-3.62%"
"2016-3-1","14.7637","15.8680","16.2453","14.6292","","-6.89%"
"2016-2-1","15.8565","15.8462","16.4412","15.0592","","-0.09%"
"2016-1-1","15.8710","15.4710","17.8409","15.4458","","2.65%"
"2015-12-1","15.4615","14.4477","16.0264","14.2464","","7.02%"
"2015-11-1","14.4479","13.8200","14.4990","13.7220","","4.55%"
"2015-10-1","13.8185","13.8555","14.0203","13.0095","","-0.16%"
"2015-9-1","13.8406","13.2778","14.1603","13.1652","","4.37%"
"2015-8-1","13.2610","12.6808","13.6706","12.5968","","4.66%"
"2015-7-1","12.6710","12.1690","12.7780","12.1453","","4.16%"
