"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-1-1","81.739","82.670","83.038","80.874","","-1.18%"
"2022-12-1","82.717","81.151","82.993","80.985","","1.67%"
"2022-11-1","81.359","82.817","82.996","80.483","","-1.70%"
"2022-10-1","82.770","81.532","83.268","81.284","","1.55%"
"2022-9-1","81.509","79.535","82.020","79.010","","2.54%"
"2022-8-1","79.491","79.185","80.135","78.393","","0.20%"
"2022-7-1","79.336","78.970","80.235","78.805","","0.49%"
"2022-6-1","78.950","77.646","79.095","77.380","","1.78%"
"2022-5-1","77.569","76.505","77.915","75.990","","1.37%"
"2022-4-1","76.520","75.925","76.806","75.266","","0.82%"
"2022-3-1","75.901","75.289","77.187","75.260","","0.54%"
"2022-2-1","75.493","74.563","75.848","74.343","","1.29%"
"2022-1-1","74.529","74.463","75.327","73.748","","0.08%"
"2021-12-1","74.467","75.080","76.419","74.093","","-0.83%"
"2021-11-1","75.090","74.960","75.201","73.834","","0.23%"
"2021-10-1","74.915","74.185","75.683","74.081","","1.01%"
"2021-9-1","74.164","72.992","74.368","72.913","","1.67%"
"2021-8-1","72.947","74.368","74.514","72.907","","-1.87%"
"2021-7-1","74.337","74.374","75.031","74.218","","-0.03%"
"2021-6-1","74.360","72.508","74.471","72.483","","2.55%"
"2021-5-1","72.511","74.279","74.332","72.315","","-2.08%"
"2021-4-1","74.050","73.169","75.570","73.155","","1.25%"
"2021-3-1","73.137","73.585","73.783","72.268","","-1.06%"
"2021-2-1","73.920","72.918","74.060","72.263","","1.43%"
"2021-1-1","72.877","73.100","73.600","72.785","","-0.22%"
"2020-12-1","73.036","74.025","74.104","72.951","","-1.29%"
"2020-11-1","73.990","74.567","75.015","73.637","","-0.76%"
"2020-10-1","74.554","73.595","74.712","72.969","","1.35%"
"2020-9-1","73.560","73.215","74.055","72.753","","0.42%"
"2020-8-1","73.254","74.918","75.314","73.050","","-2.22%"
"2020-7-1","74.916","75.525","75.625","74.488","","-0.83%"
"2020-6-1","75.540","75.470","76.400","74.973","","-0.07%"
"2020-5-1","75.590","75.319","76.145","75.038","","0.68%"
"2020-4-1","75.077","75.320","77.010","74.909","","-0.34%"
"2020-3-1","75.333","72.527","76.385","72.026","","3.86%"
"2020-2-1","72.534","71.525","72.574","71.088","","1.39%"
"2020-1-1","71.540","71.365","72.125","70.678","","0.27%"
"2019-12-1","71.350","71.785","71.825","70.510","","-0.55%"
"2019-11-1","71.746","70.975","72.245","70.555","","1.08%"
"2019-10-1","70.978","70.660","71.725","70.660","","0.48%"
"2019-9-1","70.640","71.455","72.409","70.354","","-1.14%"
"2019-8-1","71.451","69.257","72.262","68.999","","3.76%"
"2019-7-1","68.860","68.962","69.160","68.282","","-0.12%"
"2019-6-1","68.940","69.607","69.992","68.868","","-0.91%"
"2019-5-1","69.570","69.580","70.649","69.095","","-0.09%"
"2019-4-1","69.636","69.342","70.340","68.384","","0.66%"
"2019-3-1","69.180","70.826","71.000","68.350","","-2.33%"
"2019-2-1","70.830","71.105","71.852","70.398","","-0.17%"
"2019-1-1","70.950","69.635","71.529","69.239","","2.00%"
"2018-12-1","69.560","69.875","72.646","69.570","","-0.11%"
"2018-11-1","69.640","73.855","73.872","69.565","","-5.83%"
"2018-10-1","73.950","72.605","74.485","72.605","","2.00%"
"2018-9-1","72.500","70.790","72.985","70.725","","2.11%"
"2018-8-1","71.000","68.555","71.025","68.265","","3.73%"
"2018-7-1","68.450","68.490","69.128","68.275","","0.00%"
"2018-6-1","68.450","67.455","69.095","66.840","","1.53%"
"2018-5-1","67.420","66.455","68.480","66.450","","1.46%"
"2018-4-1","66.450","65.120","66.975","64.848","","2.06%"
"2018-3-1","65.110","65.205","65.295","64.728","","-0.14%"
"2018-2-1","65.200","63.645","65.314","63.555","","2.61%"
"2018-1-1","63.540","63.855","64.125","63.245","","-0.45%"
"2017-12-1","63.830","64.500","64.730","63.785","","-1.01%"
"2017-11-1","64.480","64.705","65.545","64.275","","-0.40%"
"2017-10-1","64.740","65.595","65.637","64.690","","-0.87%"
"2017-9-1","65.305","63.925","65.895","63.778","","2.15%"
"2017-8-1","63.930","64.105","64.326","63.565","","-0.37%"
"2017-7-1","64.170","64.655","64.908","64.048","","-0.69%"
"2017-6-1","64.615","64.488","64.840","64.166","","0.17%"
"2017-5-1","64.505","64.285","65.025","63.985","","0.37%"
"2017-4-1","64.270","64.805","65.185","63.925","","-0.89%"
"2017-3-1","64.850","66.720","66.920","64.795","","-2.77%"
"2017-2-1","66.700","67.655","67.688","66.595","","-1.17%"
"2017-1-1","67.490","67.955","68.505","67.440","","-0.67%"
"2016-12-1","67.945","68.595","68.597","67.314","","-0.94%"
"2016-11-1","68.588","66.685","68.905","66.227","","2.87%"
"2016-10-1","66.675","66.555","67.005","66.381","","0.19%"
"2016-9-1","66.546","66.962","67.148","66.272","","-0.62%"
"2016-8-1","66.963","66.720","67.370","66.580","","0.50%"
"2016-7-1","66.630","67.509","67.585","66.625","","-1.28%"
"2016-6-1","67.493","67.207","68.237","66.451","","0.44%"
"2016-5-1","67.199","66.425","67.780","66.230","","1.18%"
"2016-4-1","66.415","66.355","66.848","66.024","","0.25%"
"2016-3-1","66.250","68.206","68.355","66.130","","-2.86%"
"2016-2-1","68.198","67.878","68.909","67.495","","0.49%"
"2016-1-1","67.868","66.209","68.260","66.125","","2.52%"
"2015-12-1","66.198","66.462","67.180","65.946","","-0.38%"
"2015-11-1","66.452","65.413","66.945","65.330","","1.59%"
"2015-10-1","65.413","65.524","65.700","64.640","","-0.14%"
"2015-9-1","65.507","66.398","66.913","65.480","","-1.35%"
"2015-8-1","66.402","63.996","66.910","63.650","","3.79%"
"2015-7-1","63.978","63.609","64.270","63.254","","0.60%"
"2015-6-1","63.594","63.733","64.330","63.420","","-0.22%"
"2015-5-1","63.733","63.531","64.390","63.305","","0.34%"
"2015-4-1","63.520","62.292","63.780","61.930","","1.99%"
"2015-3-1","62.281","61.713","63.140","61.659","","1.03%"
"2015-2-1","61.649","62.005","62.540","61.557","","-0.58%"
"2015-1-1","62.010","63.175","63.625","61.265","","-1.62%"
"2014-12-1","63.030","62.060","63.885","61.768","","1.34%"
"2014-11-1","62.195","61.505","62.250","61.295","","1.31%"
"2014-10-1","61.390","61.830","61.958","60.903","","-0.86%"
"2014-9-1","61.925","60.520","61.940","60.201","","2.35%"
"2014-8-1","60.505","60.745","61.743","60.357","","-0.07%"
"2014-7-1","60.550","60.085","60.565","59.530","","0.84%"
"2014-6-1","60.045","59.110","60.535","58.975","","1.46%"
"2014-5-1","59.180","60.270","60.280","58.260","","-1.92%"
"2014-4-1","60.340","59.935","61.193","59.575","","0.56%"
"2014-3-1","60.005","61.955","62.145","59.685","","-2.89%"
"2014-2-1","61.790","62.705","62.840","61.755","","-1.42%"
"2014-1-1","62.680","61.826","63.322","61.316","","1.42%"
"2013-12-1","61.800","62.355","62.541","60.835","","-0.96%"
"2013-11-1","62.399","61.510","63.910","61.510","","1.26%"
"2013-10-1","61.624","62.560","62.570","60.940","","-1.54%"
"2013-9-1","62.590","66.115","68.615","61.660","","-4.74%"
"2013-8-1","65.705","60.755","68.805","60.230","","7.97%"
"2013-7-1","60.855","59.475","61.225","58.708","","2.22%"
"2013-6-1","59.533","56.510","60.770","56.310","","5.22%"
"2013-5-1","56.580","53.810","56.770","53.640","","5.39%"
"2013-4-1","53.685","54.265","54.945","53.655","","-1.11%"
"2013-3-1","54.285","54.365","55.135","53.895","","-0.16%"
"2013-2-1","54.370","53.215","54.615","52.885","","2.06%"
"2013-1-1","53.275","55.005","55.395","53.075","","-3.13%"
"2012-12-1","54.995","54.355","55.285","54.020","","1.35%"
"2012-11-1","54.265","53.805","55.885","53.602","","0.85%"
"2012-10-1","53.805","52.825","54.209","51.355","","1.80%"
"2012-9-1","52.855","55.537","56.040","52.505","","-4.81%"
"2012-8-1","55.525","55.655","56.200","54.960","","-0.06%"
"2012-7-1","55.560","55.490","56.440","54.180","","0.09%"
"2012-6-1","55.510","56.085","57.335","54.830","","-0.95%"
"2012-5-1","56.040","52.740","56.530","52.490","","6.41%"
"2012-4-1","52.665","50.855","52.880","50.524","","3.52%"
"2012-3-1","50.875","49.010","51.490","49.010","","3.59%"
"2012-2-1","49.110","49.510","49.770","48.610","","-0.82%"
"2012-1-1","49.515","53.270","53.355","49.247","","-6.60%"
"2011-12-1","53.015","52.095","54.325","50.945","","1.70%"
"2011-11-1","52.130","48.600","52.735","48.600","","7.05%"
"2011-10-1","48.695","48.965","50.325","48.535","","-0.66%"
"2011-9-1","49.020","45.750","49.895","45.660","","7.03%"
"2011-8-1","45.800","44.110","46.225","43.970","","3.60%"
"2011-7-1","44.210","44.660","44.770","43.860","","-1.10%"
"2011-6-1","44.700","45.010","45.150","44.530","","-0.80%"
"2011-5-1","45.060","44.215","45.433","44.145","","1.82%"
"2011-4-1","44.255","44.495","44.710","43.897","","-0.63%"
"2011-3-1","44.535","45.275","45.377","44.515","","-1.61%"
"2011-2-1","45.265","45.905","45.935","44.865","","-1.22%"
