"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-1-1","5.0990","5.3433","5.4456","5.0764","","-2.27%"
"2022-12-1","5.2174","5.1945","5.3403","5.1442","","-1.44%"
"2022-11-1","5.2938","5.1497","5.4652","5.0357","","0.71%"
"2022-10-1","5.2567","5.1999","5.3451","5.1408","","-2.77%"
"2022-9-1","5.4063","5.2004","5.4063","5.1180","","4.39%"
"2022-8-1","5.1787","5.1603","5.2843","5.0426","","-0.18%"
"2022-7-1","5.1881","5.3139","5.4747","5.1881","","-0.95%"
"2022-6-1","5.2377","4.7286","5.2377","4.7286","","10.77%"
"2022-5-1","4.7286","4.9188","5.1479","4.7213","","-3.87%"
"2022-4-1","4.9188","4.7375","5.0164","4.6172","","3.83%"
"2022-3-1","4.7375","5.1344","5.1344","4.7375","","-7.81%"
"2022-2-1","5.1391","5.2807","5.3281","5.0140","","-4.07%"
"2022-1-1","5.3571","5.6306","5.7039","5.3571","","-4.00%"
"2021-12-1","5.5802","5.6165","5.7369","5.5561","","-0.70%"
"2021-11-1","5.6196","5.6691","5.6691","5.4168","","-0.41%"
"2021-10-1","5.6427","5.3908","5.7114","5.3908","","3.74%"
"2021-9-1","5.4391","5.1573","5.4391","5.1573","","5.76%"
"2021-8-1","5.1430","5.1376","5.4271","5.1376","","0.42%"
"2021-7-1","5.1213","5.0052","5.2584","5.0052","","2.39%"
"2021-6-1","5.0019","5.2319","5.2319","4.9203","","-4.40%"
"2021-5-1","5.2319","5.4084","5.4084","5.2214","","-3.17%"
"2021-4-1","5.4033","5.6846","5.7061","5.3659","","-5.16%"
"2021-3-1","5.6970","5.5829","5.8394","5.4948","","3.02%"
"2021-2-1","5.5299","5.4605","5.5299","5.3420","","0.99%"
"2021-1-1","5.4756","5.1964","5.5082","5.1623","","5.37%"
"2020-12-1","5.1964","5.2786","5.2786","5.0575","","-2.53%"
"2020-11-1","5.3314","5.7715","5.7715","5.2818","","-7.63%"
"2020-10-1","5.7715","5.6404","5.7800","5.5202","","2.32%"
"2020-9-1","5.6404","5.4710","5.6525","5.2529","","3.10%"
"2020-8-1","5.4710","5.3072","5.6507","5.2757","","5.15%"
"2020-7-1","5.2030","5.4757","5.4757","5.1108","","-4.98%"
"2020-6-1","5.4757","5.3636","5.4757","4.8891","","0.92%"
"2020-5-1","5.4260","5.5813","5.9369","5.2989","","-0.01%"
"2020-4-1","5.4267","5.2401","5.6507","5.0776","","4.39%"
"2020-3-1","5.1984","4.4943","5.1984","4.4880","","15.56%"
"2020-2-1","4.4984","4.2472","4.4984","4.2378","","5.37%"
"2020-1-1","4.2692","4.0210","4.2692","4.0210","","5.92%"
"2019-12-1","4.0304","4.2258","4.2258","4.0304","","-4.58%"
"2019-11-1","4.2237","3.9783","4.2599","3.9783","","5.49%"
"2019-10-1","4.0038","4.1737","4.1737","3.9790","","-3.85%"
"2019-9-1","4.1641","4.1578","4.1824","4.0491","","0.63%"
"2019-8-1","4.1382","3.7643","4.1677","3.7643","","9.92%"
"2019-7-1","3.7646","3.7646","3.7646","3.7646","","-1.76%"
"2019-6-1","3.8319","3.8319","3.8319","3.8319","","-2.75%"
"2019-5-1","3.9404","3.9404","3.9404","3.9404","","-0.12%"
"2019-4-1","3.9450","3.9450","3.9450","3.9450","","1.25%"
"2019-3-1","3.8964","3.8964","3.8964","3.8964","","4.23%"
"2019-2-1","3.7382","3.7382","3.7382","3.7382","","2.37%"
"2019-1-1","3.6516","3.6516","3.6516","3.6516","","-5.75%"
"2018-12-1","3.8745","3.8745","3.8745","3.8745","","0.30%"
"2018-11-1","3.8630","3.8630","3.8630","3.8630","","3.92%"
"2018-10-1","3.7174","3.7174","3.7174","3.7174","","-7.15%"
"2018-9-1","4.0036","4.0036","4.0036","4.0036","","-3.18%"
"2018-8-1","4.1350","4.1350","4.1350","4.1350","","10.13%"
"2018-7-1","3.7546","3.7546","3.7546","3.7546","","-2.62%"
"2018-6-1","3.8555","3.8555","3.8555","3.8555","","3.18%"
"2018-5-1","3.7367","3.7367","3.7367","3.7367","","7.35%"
"2018-4-1","3.4808","3.4808","3.4808","3.4808","","4.73%"
"2018-3-1","3.3235","3.3235","3.3235","3.3235","","2.43%"
"2018-2-1","3.2446","3.2446","3.2446","3.2446","","2.61%"
"2018-1-1","3.1621","3.1621","3.1621","3.1621","","-4.40%"
"2017-12-1","3.3077","3.3077","3.3077","3.3077","","1.42%"
"2017-11-1","3.2613","3.2613","3.2613","3.2613","","-0.47%"
"2017-10-1","3.2766","3.2766","3.2766","3.2766","","3.44%"
"2017-9-1","3.1677","3.1677","3.1677","3.1677","","0.66%"
"2017-8-1","3.1468","3.1468","3.1468","3.1468","","0.52%"
"2017-7-1","3.1304","3.1304","3.1304","3.1304","","-5.37%"
"2017-6-1","3.3079","3.3079","3.3079","3.3079","","1.99%"
"2017-5-1","3.2434","3.2434","3.2434","3.2434","","1.42%"
"2017-4-1","3.1981","3.1981","3.1981","3.1981","","0.95%"
"2017-3-1","3.1681","3.1681","3.1681","3.1681","","2.23%"
"2017-2-1","3.0990","3.0990","3.0990","3.0990","","-0.89%"
"2017-1-1","3.1267","3.1267","3.1267","3.1267","","-4.05%"
"2016-12-1","3.2588","3.2588","3.2588","3.2588","","-4.05%"
"2016-11-1","3.3964","3.3964","3.3964","3.3964","","6.78%"
"2016-10-1","3.1808","3.1808","3.1808","3.1808","","-2.01%"
"2016-9-1","3.2459","3.2459","3.2459","3.2459","","0.18%"
"2016-8-1","3.2400","3.2400","3.2400","3.2400","","0.04%"
"2016-7-1","3.2387","3.2387","3.2387","3.2387","","0.91%"
"2016-6-1","3.2095","3.2095","3.2095","3.2095","","-10.72%"
"2016-5-1","3.5948","3.5948","3.5948","3.5948","","4.18%"
"2016-4-1","3.4505","3.4505","3.4505","3.4505","","-3.04%"
"2016-3-1","3.5586","3.5586","3.5586","3.5586","","-10.57%"
"2016-2-1","3.9793","3.9793","3.9793","3.9793","","-1.56%"
"2016-1-1","4.0425","4.0425","4.0425","4.0425","","3.53%"
"2015-12-1","3.9045","3.9045","3.9045","3.9045","","1.41%"
"2015-11-1","3.8502","3.8502","3.8502","3.8502","","-0.22%"
