"日期","收盘","开盘","高","低","涨跌幅"
"2023-1-1","2.695","2.697","2.840","2.591","1.32%"
"2022-12-1","2.660","2.698","2.805","2.597","-1.12%"
"2022-11-1","2.690","2.429","2.733","2.426","10.79%"
"2022-10-1","2.428","2.568","2.568","2.406","-5.30%"
"2022-9-1","2.564","2.419","2.556","2.374","6.47%"
"2022-8-1","2.408","2.575","2.595","2.358","-3.91%"
"2022-7-1","2.506","2.676","2.755","2.500","-4.93%"
"2022-6-1","2.636","2.553","2.738","2.538","3.70%"
"2022-5-1","2.542","2.710","2.710","2.473","-3.20%"
"2022-4-1","2.626","2.580","2.720","2.493","2.46%"
"2022-3-1","2.563","2.561","2.680","2.461","2.36%"
"2022-2-1","2.504","2.487","2.615","2.398","3.81%"
"2022-1-1","2.412","2.640","2.680","2.353","-6.80%"
"2021-12-1","2.588","2.701","2.800","2.574","-3.43%"
"2021-11-1","2.680","2.930","2.930","2.661","-5.37%"
"2021-10-1","2.832","2.810","2.913","2.710","5.01%"
"2021-9-1","2.697","2.778","2.805","2.630","0.94%"
"2021-8-1","2.672","2.788","2.835","2.615","-0.04%"
"2021-7-1","2.673","2.964","2.970","2.668","-8.86%"
"2021-6-1","2.933","2.943","3.108","2.904","0.65%"
"2021-5-1","2.914","2.998","3.050","2.865","-1.69%"
"2021-4-1","2.964","3.040","3.150","2.948","-2.02%"
"2021-3-1","3.025","3.115","3.170","3.023","-1.53%"
"2021-2-1","3.072","3.050","3.163","2.965","1.32%"
"2021-1-1","3.032","3.040","3.040","2.886","2.05%"
"2020-12-1","2.971","3.095","3.230","2.930","-3.22%"
"2020-11-1","3.070","3.100","3.300","3.004","0.95%"
"2020-10-1","3.041","3.160","3.200","2.998","1.03%"
"2020-9-1","3.010","3.035","3.180","2.908","1.18%"
"2020-8-1","2.975","2.770","3.050","2.675","11.01%"
"2020-7-1","2.680","2.630","2.975","2.555","4.16%"
"2020-6-1","2.573","2.260","2.720","2.190","14.71%"
"2020-5-1","2.243","1.750","2.297","1.750","28.83%"
"2020-4-1","1.741","2.320","2.320","1.741","-24.63%"
"2020-3-1","2.310","2.469","2.564","2.310","-8.59%"
"2020-2-1","2.527","2.620","2.739","2.515","-7.94%"
"2020-1-1","2.745","2.850","2.900","2.730","-2.66%"
"2019-12-1","2.820","3.010","3.050","2.820","-5.84%"
