"日期","收盘","开盘","高","低","涨跌幅"
"2023-1-1","8.130","8.765","8.795","8.090","-7.24%"
"2022-12-1","8.765","8.815","9.495","8.680","0.46%"
"2022-11-1","8.725","9.085","9.195","8.530","-3.91%"
"2022-10-1","9.080","9.460","9.510","8.915","-4.12%"
"2022-9-1","9.470","9.040","9.565","8.690","5.52%"
"2022-8-1","8.975","8.925","9.115","8.450","0.45%"
"2022-7-1","8.935","8.895","9.595","8.775","0.45%"
"2022-6-1","8.895","8.265","9.013","8.240","7.62%"
"2022-5-1","8.265","8.325","8.695","8.105","-0.72%"
"2022-4-1","8.325","8.150","8.380","8.021","2.21%"
"2022-3-1","8.145","7.905","8.895","7.865","2.91%"
"2022-2-1","7.915","7.745","7.945","7.545","2.19%"
"2022-1-1","7.745","7.860","8.025","7.595","-1.46%"
"2021-12-1","7.860","8.075","8.125","7.565","-2.18%"
"2021-11-1","8.035","8.200","8.380","7.835","-2.01%"
"2021-10-1","8.200","7.595","8.235","7.595","7.97%"
"2021-9-1","7.595","7.310","7.700","7.285","3.90%"
"2021-8-1","7.310","7.325","7.510","7.243","-0.20%"
"2021-7-1","7.325","7.425","7.640","7.255","-1.48%"
"2021-6-1","7.435","7.325","7.535","7.020","1.36%"
"2021-5-1","7.335","7.390","7.505","7.205","-0.74%"
"2021-4-1","7.390","7.475","7.575","7.140","-1.14%"
"2021-3-1","7.475","7.325","7.860","7.190","1.01%"
"2021-2-1","7.400","6.680","7.515","6.545","10.70%"
"2021-1-1","6.685","6.665","6.780","6.515","0.30%"
"2020-12-1","6.665","7.090","7.150","6.665","-6.19%"
"2020-11-1","7.105","7.075","7.175","6.695","0.21%"
"2020-10-1","7.090","7.225","7.320","6.985","-1.87%"
"2020-9-1","7.225","7.410","7.410","7.085","-2.50%"
"2020-8-1","7.410","7.510","7.615","7.315","-1.53%"
"2020-7-1","7.525","7.705","7.975","7.345","-2.21%"
"2020-6-1","7.695","7.650","7.935","7.200","0.65%"
"2020-5-1","7.645","8.460","9.245","7.135","-9.20%"
"2020-4-1","8.420","9.875","10.625","8.360","-14.73%"
"2020-3-1","9.875","8.110","12.020","7.760","21.17%"
"2020-2-1","8.150","8.150","8.150","8.150","1.62%"
"2020-1-1","8.020","8.020","8.020","8.020","10.85%"
"2019-12-1","7.235","7.235","7.235","7.235","-2.82%"
"2019-11-1","7.445","7.445","7.445","7.445","-1.33%"
"2019-10-1","7.545","7.545","7.545","7.545","1.55%"
"2019-9-1","7.430","7.430","7.430","7.430","2.06%"
"2019-8-1","7.280","7.280","7.280","7.280","-1.75%"
