"日期","收盘","开盘","高","低","涨跌幅"
"2023-1-1","12.820","12.960","12.960","12.820","0.87%"
"2022-12-1","12.710","12.710","12.710","12.710","-1.01%"
"2022-11-1","12.840","12.840","12.840","12.840","9.74%"
"2022-10-1","11.700","11.925","11.925","11.650","-0.76%"
"2022-9-1","11.790","11.930","11.930","11.790","-1.46%"
"2022-8-1","11.965","11.980","11.980","11.965","-6.78%"
"2022-7-1","12.835","13.035","13.035","12.835","-0.43%"
"2022-6-1","12.890","12.890","12.890","12.890","3.70%"
"2022-5-1","12.430","12.465","12.465","12.430","1.68%"
"2022-4-1","12.225","12.270","12.270","12.225","8.76%"
"2022-3-1","11.240","11.600","11.600","11.240","0.22%"
"2022-2-1","11.215","11.370","11.405","11.215","1.72%"
"2022-1-1","11.025","11.385","11.385","11.025","3.04%"
"2021-12-1","10.700","10.795","10.795","10.700","-7.16%"
"2021-11-1","11.525","11.590","11.590","11.525","-6.98%"
"2021-10-1","12.390","12.390","12.390","12.390","22.86%"
"2021-9-1","10.085","10.280","10.280","10.085","8.73%"
"2021-8-1","9.275","9.275","9.275","9.275","10.22%"
"2021-7-1","8.415","8.400","8.740","8.400","3.76%"
"2021-6-1","8.110","8.010","8.110","8.010","2.33%"
"2021-5-1","7.925","7.835","7.925","7.835","0.76%"
"2021-4-1","7.865","7.775","7.865","7.775","-3.38%"
"2021-3-1","8.140","8.150","8.150","8.140","11.66%"
"2021-2-1","7.290","7.290","7.290","7.290","17.68%"
"2021-1-1","6.195","6.195","6.195","6.140","13.67%"
"2020-12-1","5.450","5.485","5.485","5.450","-16.67%"
"2020-11-1","6.540","6.540","6.540","6.540","-0.46%"
"2020-10-1","6.570","6.620","6.620","6.560","5.97%"
"2020-9-1","6.200","6.290","6.290","6.200","8.39%"
"2020-8-1","5.720","5.750","5.750","5.720","13.60%"
"2020-7-1","5.035","5.040","5.040","5.035","-8.20%"
"2020-6-1","5.485","5.565","5.565","5.485","-4.77%"
"2020-5-1","5.760","5.825","5.825","5.760","-9.72%"
"2020-4-1","6.380","6.285","6.410","6.285","-4.42%"
"2020-3-1","6.675","6.725","6.725","6.675","10.15%"
"2020-2-1","6.060","6.045","6.060","6.045","-1.38%"
"2020-1-1","6.145","6.135","6.145","6.115","-3.68%"
"2019-12-1","6.380","6.420","6.420","6.380","-0.31%"
"2019-11-1","6.400","6.470","6.470","6.400","8.29%"
"2019-10-1","5.910","5.910","5.910","5.910","-9.70%"
"2019-9-1","6.545","6.535","6.555","6.505","-6.30%"
"2019-8-1","6.985","7.155","7.155","6.965","2.42%"
"2019-7-1","6.820","6.800","6.860","6.730","-3.12%"
"2019-6-1","7.040","7.140","7.180","6.990","-12.00%"
"2019-5-1","8.000","8.080","8.100","7.990","-6.76%"
"2019-4-1","8.580","8.655","8.655","8.555","5.02%"
"2019-3-1","8.170","8.170","8.180","7.970","-0.49%"
"2019-2-1","8.210","8.210","8.250","8.140","1.73%"
"2019-1-1","8.070","8.260","8.260","8.010","-5.28%"
"2018-12-1","8.520","8.620","8.620","8.510","-5.54%"
"2018-11-1","9.020","9.100","9.120","9.010","-3.43%"
"2018-10-1","9.340","9.175","9.380","9.125","-14.94%"
"2018-9-1","10.980","10.810","11.000","10.770","-2.66%"
"2018-8-1","11.280","11.470","11.600","11.220","9.51%"
"2018-7-1","10.300","10.240","10.320","10.150","-4.05%"
"2018-6-1","10.735","10.790","10.860","10.570","3.82%"
"2018-5-1","10.340","10.454","10.690","10.170","15.27%"
"2018-4-1","8.970","8.870","8.970","8.870","1.36%"
"2018-3-1","8.850","8.830","8.900","8.760","-3.17%"
"2018-2-1","9.140","9.160","9.190","9.050","-1.51%"
"2018-1-1","9.280","9.280","9.280","9.200","-4.58%"
"2017-12-1","9.725","9.745","9.770","9.675","-2.65%"
"2017-11-1","9.990","9.950","10.060","9.870","3.74%"
"2017-10-1","9.630","9.600","9.655","9.535","3.88%"
"2017-9-1","9.270","9.330","9.355","9.220","-3.54%"
"2017-8-1","9.610","9.720","9.770","9.560","-1.23%"
"2017-7-1","9.730","9.740","9.800","9.630","-5.58%"
"2017-6-1","10.305","10.460","10.560","10.270","-3.28%"
"2017-5-1","10.655","10.770","10.770","10.570","7.30%"
"2017-4-1","9.930","10.040","10.065","9.900","0.51%"
"2017-3-1","9.880","9.890","9.900","9.775","-1.79%"
"2017-2-1","10.060","10.110","10.120","10.020","-5.36%"
"2017-1-1","10.630","10.630","10.735","10.600","-6.51%"
"2016-12-1","11.370","11.480","11.480","11.335","-3.23%"
"2016-11-1","11.750","11.830","11.990","11.670","4.07%"
"2016-10-1","11.290","11.360","11.360","11.240","-1.83%"
"2016-9-1","11.500","11.570","11.660","11.480","-4.41%"
"2016-8-1","12.030","12.130","12.140","12.010","0.50%"
"2016-7-1","11.970","12.110","12.110","11.950","-0.91%"
"2016-6-1","12.080","12.170","12.220","12.000","-5.99%"
"2016-5-1","12.850","12.890","12.930","12.730","4.30%"
"2016-4-1","12.320","12.540","12.560","12.310","-10.92%"
"2016-3-1","13.830","13.630","13.910","13.600","-10.83%"
"2016-2-1","15.510","15.770","15.770","15.390","-1.15%"
"2016-1-1","15.690","15.920","15.920","15.580","-5.25%"
"2015-12-1","16.560","16.480","16.570","16.460","3.76%"
"2015-11-1","15.960","15.950","16.060","15.820","0.63%"
"2015-10-1","15.860","16.170","16.170","15.820","2.12%"
"2015-9-1","15.530","16.050","16.050","15.430","9.52%"
"2015-8-1","14.180","13.875","14.235","13.875","10.18%"
"2015-7-1","12.870","12.980","12.980","12.760","0.82%"
"2015-6-1","12.765","12.925","12.925","12.725","2.86%"
"2015-5-1","12.410","12.350","12.510","12.290","-3.46%"
"2015-4-1","12.855","12.740","12.945","12.690","-2.43%"
"2015-3-1","13.175","13.340","13.460","13.140","5.65%"
"2015-2-1","12.470","12.760","12.760","12.470","1.88%"
"2015-1-1","12.240","12.100","12.290","12.100","-4.00%"
"2014-12-1","12.750","12.900","12.920","12.740","6.52%"
"2014-11-1","11.970","12.030","12.140","11.970","-1.32%"
"2014-10-1","12.130","12.180","12.330","12.090","-2.30%"
"2014-9-1","12.415","12.520","12.660","12.350","10.26%"
"2014-8-1","11.260","11.260","11.360","11.150","-4.09%"
"2014-7-1","11.740","11.720","11.820","11.660","-1.18%"
"2014-6-1","11.880","11.790","11.900","11.770","0.76%"
"2014-5-1","11.790","11.890","11.930","11.780","-4.61%"
"2014-4-1","12.360","12.440","12.450","12.320","-2.29%"
"2014-3-1","12.650","12.622","12.660","12.560","1.12%"
"2014-2-1","12.510","12.280","12.530","12.240","-5.08%"
"2014-1-1","13.180","13.200","13.360","13.160","2.17%"
"2013-12-1","12.900","12.840","12.900","12.840","2.30%"
"2013-11-1","12.610","12.500","12.670","12.500","7.41%"
"2013-10-1","11.740","11.630","11.740","11.630","2.53%"
"2013-9-1","11.450","11.690","11.690","11.440","-4.98%"
"2013-8-1","12.050","11.960","12.050","11.820","11.88%"
"2013-7-1","10.770","10.890","10.950","10.750","-2.27%"
"2013-6-1","11.020","10.850","11.080","10.765","10.53%"
"2013-5-1","9.970","9.720","10.010","9.690","10.78%"
"2013-4-1","9.000","9.000","9.040","8.985","-5.66%"
"2013-3-1","9.540","9.400","9.550","9.370","4.95%"
"2013-2-1","9.090","9.140","9.161","9.060","1.56%"
"2013-1-1","8.950","8.940","9.010","8.890","5.17%"
"2012-12-1","8.510","8.610","8.610","8.500","-3.84%"
"2012-11-1","8.850","8.810","8.880","8.770","2.91%"
"2012-10-1","8.600","8.650","8.690","8.585","-4.39%"
"2012-9-1","8.995","9.135","9.135","8.982","0.39%"
"2012-8-1","8.960","8.970","9.080","8.930","0.67%"
"2012-7-1","8.900","9.080","9.080","8.880","-4.09%"
"2012-6-1","9.280","9.524","9.564","9.260","-5.64%"
"2012-5-1","9.835","9.530","9.874","9.530","-2.82%"
"2012-4-1","10.120","10.040","10.194","10.014","-6.33%"
"2012-3-1","10.804","10.800","10.820","10.700","-1.15%"
"2012-2-1","10.930","10.950","10.950","10.810","-1.09%"
"2012-1-1","11.050","10.994","11.100","10.960","-13.40%"
"2010-1-1","12.760","12.800","12.830","12.750","-0.23%"
"2009-12-1","12.790","12.870","12.920","11.969","0.00%"
"2009-11-1","12.790","12.910","13.000","12.770","0.76%"
"2009-10-1","12.694","12.805","12.825","12.690","2.42%"
"2009-9-1","12.394","12.435","12.505","12.360","0.76%"
"2009-8-1","12.300","12.395","12.435","11.470","0.08%"
"2009-7-1","12.290","12.330","12.430","11.436","-0.97%"
"2009-6-1","12.410","12.380","12.490","12.380","5.71%"
"2009-5-1","11.740","11.850","11.960","10.950","-7.05%"
"2009-4-1","12.630","12.600","12.780","11.810","4.99%"
"2009-3-1","12.030","12.000","12.090","11.210","2.38%"
"2009-2-1","11.750","12.740","12.860","11.750","-8.63%"
"2009-1-1","12.860","13.290","13.440","12.060","4.05%"
"2008-12-1","12.360","13.560","14.191","12.360","-26.30%"
"2008-11-1","16.770","17.820","17.840","16.770","-3.51%"
"2008-10-1","17.380","17.380","17.380","17.380","22.91%"
"2008-9-1","14.140","13.880","14.140","13.880","2.19%"
"2008-8-1","13.837","13.837","13.837","13.837","-1.36%"
"2008-7-1","14.028","14.028","14.028","14.028","-7.12%"
"2008-6-1","15.103","15.000","15.103","15.000","10.12%"
"2008-5-1","13.715","13.715","13.715","13.715","-0.14%"
"2008-4-1","13.734","13.734","13.734","13.734","2.99%"
"2008-3-1","13.335","13.335","13.335","13.335","5.99%"
"2008-2-1","12.581","12.581","12.581","12.581","-3.21%"
"2008-1-1","12.998","12.998","12.998","12.998","0.00%"
"2007-12-1","12.998","13.096","13.096","12.998","4.15%"
"2007-11-1","12.480","12.560","12.560","12.480","6.30%"
"2007-10-1","11.740","11.739","11.740","11.739","2.91%"
"2007-9-1","11.408","11.408","11.408","11.408","-5.11%"
"2007-8-1","12.022","12.022","12.022","12.022","7.45%"
"2007-7-1","11.188","11.188","11.188","11.188","3.78%"
"2007-6-1","10.780","10.780","10.780","10.780","4.95%"
"2007-5-1","10.272","10.272","10.272","10.272","-4.71%"
"2007-4-1","10.780","10.780","10.780","10.780","-8.49%"
"2007-3-1","11.780","11.780","11.780","11.780","-2.81%"
"2007-2-1","12.120","11.890","12.120","11.890","-2.73%"
"2007-1-1","12.460","12.550","12.550","12.550","-1.58%"
