"日期","收盘","开盘","高","低","涨跌幅"
"2023-1-1","3.619","3.964","3.978","3.386","-9.54%"
"2022-12-1","4.000","3.749","4.035","3.556","6.61%"
"2022-11-1","3.752","4.237","4.455","3.738","-11.30%"
"2022-10-1","4.230","4.066","4.506","3.768","3.51%"
"2022-9-1","4.087","3.354","4.251","3.269","21.89%"
"2022-8-1","3.353","2.703","3.358","2.579","25.05%"
"2022-7-1","2.681","3.053","3.212","2.653","-11.89%"
"2022-6-1","3.043","2.839","3.623","2.819","7.88%"
"2022-5-1","2.821","2.967","3.109","2.667","-4.76%"
"2022-4-1","2.962","2.473","3.049","2.472","20.16%"
"2022-3-1","2.465","1.737","2.673","1.523","43.90%"
"2022-2-1","1.713","1.619","1.984","1.570","6.10%"
"2022-1-1","1.614","1.321","1.701","1.291","27.82%"
"2021-12-1","1.263","1.198","1.310","1.115","8.16%"
"2021-11-1","1.168","1.214","1.380","1.041","-1.44%"
"2021-10-1","1.185","0.978","1.252","0.920","21.98%"
"2021-9-1","0.971","0.785","1.042","0.744","25.25%"
"2021-8-1","0.775","0.698","0.864","0.606","11.82%"
"2021-7-1","0.693","0.893","0.925","0.631","-22.17%"
"2021-6-1","0.891","0.806","0.962","0.707","13.03%"
"2021-5-1","0.788","0.856","0.873","0.716","-7.18%"
"2021-4-1","0.849","0.934","0.988","0.779","-9.43%"
"2021-3-1","0.938","0.702","0.951","0.659","28.50%"
"2021-2-1","0.730","0.421","0.865","0.413","71.45%"
"2021-1-1","0.426","0.367","0.533","0.350","17.96%"
"2020-12-1","0.361","0.364","0.435","0.342","-0.85%"
"2020-11-1","0.364","0.373","0.465","0.307","-5.33%"
"2020-10-1","0.384","0.280","0.389","0.255","38.07%"
"2020-9-1","0.278","0.271","0.305","0.226","3.53%"
"2020-8-1","0.269","0.212","0.329","0.189","28.60%"
"2020-7-1","0.209","0.289","0.331","0.206","-27.35%"
"2020-6-1","0.288","0.294","0.506","0.266","-5.20%"
"2020-5-1","0.304","0.358","0.405","0.272","-16.94%"
"2020-4-1","0.366","0.366","0.519","0.301","-2.17%"
"2020-3-1","0.374","0.875","0.950","0.312","-60.74%"
"2020-2-1","0.952","1.323","1.497","0.894","-27.63%"
"2020-1-1","1.315","1.697","1.715","1.310","-22.31%"
"2019-12-1","1.693","1.642","1.777","1.518","4.22%"
"2019-11-1","1.624","1.520","1.783","1.498","7.00%"
"2019-10-1","1.518","1.549","1.685","1.319","-1.79%"
"2019-9-1","1.546","1.390","1.762","1.308","11.08%"
"2019-8-1","1.391","1.840","1.872","1.328","-23.65%"
"2019-7-1","1.822","1.816","1.921","1.709","3.07%"
"2019-6-1","1.768","1.908","1.945","1.709","-7.72%"
