"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-1-1","102.10","103.66","105.63","101.50","","-1.38%"
"2022-12-1","103.52","105.70","105.90","103.39","","-2.29%"
"2022-11-1","105.95","111.52","113.15","105.32","","-5.00%"
"2022-10-1","111.53","112.17","113.94","109.54","","-0.53%"
"2022-9-1","112.12","108.84","114.78","107.68","","3.14%"
"2022-8-1","108.70","105.83","109.48","104.64","","2.64%"
"2022-7-1","105.90","104.78","109.29","104.74","","1.16%"
"2022-6-1","104.68","101.76","105.79","101.64","","2.88%"
"2022-5-1","101.75","103.21","105.00","101.30","","-1.17%"
"2022-4-1","102.96","98.33","103.93","98.31","","4.73%"
"2022-3-1","98.31","96.76","99.42","96.63","","1.66%"
"2022-2-1","96.71","96.70","97.74","95.14","","0.17%"
"2022-1-1","96.54","95.67","97.44","94.63","","0.60%"
"2021-12-1","95.97","95.94","96.91","95.57","","-0.03%"
"2021-11-1","95.99","94.13","96.94","93.82","","1.99%"
"2021-10-1","94.12","94.31","94.56","93.28","","-0.11%"
"2021-9-1","94.23","92.66","94.50","91.95","","1.73%"
"2021-8-1","92.63","92.09","93.73","91.82","","0.49%"
"2021-7-1","92.17","92.35","93.19","91.78","","-0.28%"
"2021-6-1","92.44","89.81","92.45","89.66","","2.67%"
"2021-5-1","90.03","91.30","91.44","89.54","","-1.37%"
"2021-4-1","91.28","93.22","93.34","90.42","","-2.09%"
"2021-3-1","93.23","90.93","93.44","90.63","","2.59%"
"2021-2-1","90.88","90.53","91.60","89.68","","0.33%"
"2021-1-1","90.58","89.93","90.95","89.21","","0.72%"
"2020-12-1","89.94","91.94","91.94","89.52","","-2.10%"
"2020-11-1","91.87","93.89","94.30","91.51","","-2.31%"
"2020-10-1","94.04","93.80","94.10","92.47","","0.16%"
"2020-9-1","93.89","92.18","94.74","91.75","","1.89%"
"2020-8-1","92.14","93.46","93.99","91.99","","-1.29%"
"2020-7-1","93.35","97.39","97.62","92.55","","-4.15%"
"2020-6-1","97.39","98.30","98.32","95.72","","-0.97%"
"2020-5-1","98.34","99.13","100.56","97.94","","-0.68%"
"2020-4-1","99.02","99.01","100.93","98.81","","-0.03%"
"2020-3-1","99.05","98.12","102.99","94.65","","0.93%"
"2020-2-1","98.13","97.37","99.91","97.37","","0.76%"
"2020-1-1","97.39","96.50","98.19","96.39","","1.04%"
"2019-12-1","96.39","98.27","98.38","96.36","","-1.92%"
"2019-11-1","98.27","97.30","98.54","97.11","","0.95%"
"2019-10-1","97.35","99.40","99.67","97.14","","-2.04%"
"2019-9-1","99.38","98.83","99.46","97.86","","0.47%"
"2019-8-1","98.92","98.59","99.02","97.03","","0.41%"
"2019-7-1","98.52","96.25","98.68","96.25","","2.48%"
"2019-6-1","96.13","97.64","97.80","95.84","","-1.66%"
"2019-5-1","97.75","97.53","98.37","97.03","","0.28%"
"2019-4-1","97.48","97.18","98.33","96.75","","0.20%"
"2019-3-1","97.28","96.22","97.71","95.74","","1.17%"
"2019-2-1","96.16","95.55","97.37","95.40","","0.61%"
"2019-1-1","95.58","96.15","96.96","95.03","","-0.62%"
"2018-12-1","96.17","97.13","97.71","96.00","","-1.13%"
"2018-11-1","97.27","97.08","97.69","95.68","","0.15%"
"2018-10-1","97.13","95.11","97.20","94.79","","2.10%"
"2018-9-1","95.13","95.19","95.74","93.81","","-0.01%"
"2018-8-1","95.14","94.56","96.98","94.43","","0.68%"
"2018-7-1","94.49","94.63","95.65","93.71","","-0.15%"
"2018-6-1","94.64","93.95","95.53","93.19","","0.69%"
"2018-5-1","93.99","91.81","95.03","91.80","","2.33%"
"2018-4-1","91.84","89.97","91.99","89.23","","2.08%"
"2018-3-1","89.97","90.67","90.93","88.94","","-0.71%"
"2018-2-1","90.61","89.04","90.70","88.25","","1.66%"
"2018-1-1","89.13","92.24","92.64","88.44","","-3.25%"
"2017-12-1","92.12","93.03","94.22","92.08","","-0.99%"
"2017-11-1","93.05","94.55","95.15","92.50","","-1.59%"
"2017-10-1","94.55","93.22","95.15","92.75","","1.59%"
"2017-9-1","93.08","92.61","93.67","91.01","","0.44%"
"2017-8-1","92.67","92.89","94.14","91.62","","-0.21%"
"2017-7-1","92.86","95.65","96.51","92.78","","-2.89%"
"2017-6-1","95.63","96.99","97.87","95.47","","-1.34%"
"2017-5-1","96.92","98.93","99.89","96.80","","-2.15%"
"2017-4-1","99.05","100.50","101.34","98.69","","-1.30%"
"2017-3-1","100.35","101.43","102.26","98.86","","-0.76%"
"2017-2-1","101.12","99.56","101.76","99.23","","1.62%"
"2017-1-1","99.51","102.38","103.82","99.43","","-2.64%"
"2016-12-1","102.21","101.52","103.65","99.43","","0.70%"
"2016-11-1","101.50","98.39","102.05","95.89","","3.10%"
"2016-10-1","98.44","95.54","99.12","95.46","","3.12%"
"2016-9-1","95.46","95.98","96.33","94.46","","-0.58%"
"2016-8-1","96.02","95.59","96.52","94.08","","0.51%"
"2016-7-1","95.53","95.89","97.57","95.34","","-0.64%"
"2016-6-1","96.14","95.81","96.71","93.02","","0.26%"
"2016-5-1","95.89","93.02","95.97","91.92","","3.02%"
"2016-4-1","93.08","94.64","95.20","93.01","","-1.59%"
"2016-3-1","94.59","98.18","98.58","94.32","","-3.69%"
"2016-2-1","98.21","99.55","99.63","95.24","","-1.40%"
"2016-1-1","99.61","98.59","99.83","98.05","","0.99%"
"2015-12-1","98.63","100.23","100.51","97.19","","-1.54%"
"2015-11-1","100.17","96.69","100.31","96.64","","3.33%"
"2015-10-1","96.95","96.27","97.82","93.81","","0.62%"
"2015-9-1","96.35","95.93","96.70","94.06","","0.55%"
"2015-8-1","95.82","97.22","98.33","92.62","","-1.55%"
"2015-7-1","97.34","95.58","98.15","95.45","","1.94%"
"2015-6-1","95.49","96.90","97.68","93.56","","-1.47%"
"2015-5-1","96.91","94.82","97.78","93.13","","2.44%"
"2015-4-1","94.60","98.42","99.99","94.40","","-3.82%"
"2015-3-1","98.36","95.38","100.39","95.06","","3.19%"
"2015-2-1","95.32","94.58","95.85","93.25","","0.55%"
"2015-1-1","94.80","90.36","95.48","90.33","","5.02%"
"2014-12-1","90.27","88.16","90.32","87.63","","2.17%"
"2014-11-1","88.36","87.08","88.44","86.88","","1.66%"
"2014-10-1","86.92","85.92","87.13","84.47","","1.14%"
"2014-9-1","85.94","82.77","86.22","82.67","","3.85%"
"2014-8-1","82.75","81.44","82.75","81.19","","1.59%"
"2014-7-1","81.46","79.79","81.57","79.74","","2.11%"
"2014-6-1","79.78","80.36","81.02","79.76","","-0.74%"
"2014-5-1","80.37","79.51","80.58","78.91","","1.13%"
"2014-4-1","79.47","80.10","80.60","79.33","","-0.78%"
"2014-3-1","80.10","79.90","80.35","79.27","","0.51%"
"2014-2-1","79.69","81.28","81.32","79.69","","-1.99%"
"2014-1-1","81.31","80.21","81.39","80.08","","1.59%"
"2013-12-1","80.04","80.66","80.99","79.69","","-0.80%"
"2013-11-1","80.68","80.23","81.48","80.25","","0.60%"
"2013-10-1","80.19","80.27","80.75","79.00","","-0.03%"
"2013-9-1","80.22","82.05","82.67","80.03","","-2.27%"
"2013-8-1","82.09","81.66","82.49","80.75","","0.78%"
"2013-7-1","81.45","83.18","84.75","81.41","","-2.03%"
"2013-6-1","83.14","83.32","83.38","80.50","","-0.15%"
"2013-5-1","83.26","81.71","84.50","81.33","","1.85%"
"2013-4-1","81.75","83.05","83.49","81.60","","-1.77%"
"2013-3-1","83.22","81.92","83.30","81.78","","1.55%"
"2013-2-1","81.95","79.13","82.00","78.92","","3.46%"
"2013-1-1","79.21","79.69","80.87","79.13","","-0.70%"
"2012-12-1","79.77","80.24","80.66","79.01","","-0.48%"
"2012-11-1","80.15","79.95","81.46","79.86","","0.29%"
"2012-10-1","79.92","79.95","80.32","78.93","","-0.02%"
"2012-9-1","79.93","81.29","81.67","78.60","","-1.57%"
"2012-8-1","81.21","82.70","83.51","80.96","","-1.72%"
"2012-7-1","82.64","81.56","84.10","81.53","","1.23%"
"2012-6-1","81.63","83.07","83.54","81.19","","-1.71%"
"2012-5-1","83.04","78.78","83.21","78.60","","5.41%"
"2012-4-1","78.78","78.89","80.18","78.64","","-0.28%"
"2012-3-1","79.00","78.77","80.74","78.63","","0.33%"
"2012-2-1","78.74","79.32","80.12","78.09","","-0.69%"
"2012-1-1","79.29","80.28","81.78","78.74","","-1.11%"
"2011-12-1","80.18","78.33","80.85","77.97","","2.30%"
"2011-11-1","78.38","76.56","79.70","76.46","","2.90%"
"2011-10-1","76.17","79.02","79.84","74.72","","-3.03%"
"2011-9-1","78.55","74.17","78.86","74.15","","5.98%"
"2011-8-1","74.12","73.81","75.42","73.45","","0.30%"
"2011-7-1","73.90","74.45","76.72","73.42","","-0.54%"
"2011-6-1","74.30","74.43","76.02","73.51","","-0.46%"
"2011-5-1","74.64","72.99","76.37","72.70","","2.34%"
"2011-4-1","72.93","76.05","76.61","72.83","","-3.86%"
"2011-3-1","75.86","76.86","77.38","75.34","","-1.34%"
"2011-2-1","76.89","77.61","78.87","76.76","","-1.08%"
"2011-1-1","77.73","79.14","81.31","77.54","","-1.64%"
"2010-12-1","79.03","81.26","81.36","78.78","","-2.66%"
"2010-11-1","81.19","76.97","81.44","75.63","","5.07%"
"2010-10-1","77.27","78.80","78.83","76.14","","-1.84%"
"2010-9-1","78.72","83.09","83.22","78.41","","-5.38%"
"2010-8-1","83.20","81.50","83.56","80.08","","2.04%"
"2010-7-1","81.54","86.10","86.26","81.46","","-5.21%"
"2010-6-1","86.02","86.58","88.71","85.09","","-0.66%"
"2010-5-1","86.59","81.84","87.46","81.83","","5.77%"
"2010-4-1","81.87","81.04","82.71","80.03","","0.99%"
"2010-3-1","81.07","80.42","82.24","79.51","","0.88%"
"2010-2-1","80.36","79.46","81.34","78.68","","1.13%"
"2010-1-1","79.46","77.92","79.50","76.60","","2.05%"
"2009-12-1","77.86","74.71","78.45","74.27","","4.12%"
"2009-11-1","74.78","76.37","76.82","74.17","","-1.99%"
"2009-10-1","76.30","76.65","77.47","74.94","","-0.46%"
"2009-9-1","76.65","78.11","78.94","75.83","","-1.94%"
"2009-8-1","78.17","78.25","79.51","77.43","","-0.23%"
"2009-7-1","78.35","80.12","80.89","78.22","","-2.26%"
"2009-6-1","80.16","79.35","81.47","78.33","","1.17%"
"2009-5-1","79.23","84.72","84.87","79.18","","-6.59%"
"2009-4-1","84.82","85.53","86.87","83.73","","-0.81%"
"2009-3-1","85.51","88.58","89.62","82.63","","-3.02%"
"2009-2-1","88.17","86.08","88.49","84.47","","2.73%"
"2009-1-1","85.83","81.18","86.81","80.85","","5.77%"
"2008-12-1","81.15","86.42","87.70","77.69","","-6.21%"
"2008-11-1","86.52","85.81","88.46","83.90","","1.04%"
